user_id,user_name,city,account_age_days,is_verified
1,Amit Kumar,DELHI,704,f
2,Ananya Ali,MUMBAI,908,t
3,Zaid Smith,DUBAI,472,t
4,John Smith,Dubai,999,f
5,Amit Kapoor,DUBAI,873,t
6,John Kumar,DUBAI,723,t
7,Ananya Kumar,Delhi,625,t
8,John Kapoor,DUBAI,109,t
9,John Kapoor,Delhi,528,f
10,Zaid Kapoor,mumbai,694,t
11,Sumit Kapoor,MUMBAI,103,t
12,Amit Smith,Dubai,355,t
13,Zaid Smith,Dubai,280,f
14,Zaid Ali,mumbai,909,t
15,John Ali,DELHI,3,t
16,John Smith,MUMBAI,97,t
17,John Kapoor,mumbai,320,f
18,John Ali,DELHI,844,t
19,Sumit Smith,Dubai,858,f
20,Neha Kapoor,mumbai,887,t
21,Zaid Kapoor,Delhi,41,t
22,Amit Smith,MUMBAI,696,t
23,John Kumar,mumbai,960,t
24,Neha Ali,DUBAI,65,t
25,Amit Kumar,Delhi,349,t
26,Sumit Smith,Dubai,464,t
27,Ananya Smith,DUBAI,163,t
28,Sumit Kapoor,Dubai,689,t
29,Neha Sheikh,DUBAI,63,t
30,Amit Sheikh,Delhi,813,f
31,Sumit Kapoor,Dubai,538,t
32,Sumit Kapoor,Dubai,37,t
33,Amit Kumar,mumbai,209,f
34,Neha Sheikh,mumbai,766,f
35,John Sheikh,DUBAI,103,f
36,Sumit Ali,DELHI,422,t
37,Sumit Kumar,DUBAI,4,f
38,John Kapoor,MUMBAI,457,f
39,John Ali,Delhi,304,t
40,Sumit Ali,Delhi,406,t
41,Zaid Kumar,Dubai,845,t
42,Neha Smith,DUBAI,529,t
43,Ananya Smith,DELHI,684,t
44,Neha Smith,DELHI,286,t
45,John Kumar,MUMBAI,725,t
46,Zaid Kapoor,DELHI,249,t
47,John Kapoor,MUMBAI,622,f
48,Amit Smith,DELHI,806,t
49,Neha Smith,Dubai,171,f
50,John Kumar,Dubai,325,t
51,Zaid Ali,DUBAI,355,t
52,Amit Ali,MUMBAI,323,t
53,Neha Kumar,DUBAI,168,f
54,Amit Sheikh,DELHI,412,t
55,John Smith,DELHI,440,t
56,Ananya Smith,Dubai,570,t
57,Neha Sheikh,DUBAI,538,f
58,John Ali,Delhi,727,f
59,Sumit Sheikh,mumbai,962,t
60,Neha Sheikh,MUMBAI,519,f
61,Neha Sheikh,DELHI,254,f
62,Neha Ali,DUBAI,421,t
63,Ananya Ali,DUBAI,447,t
64,John Smith,Delhi,204,t
65,Zaid Ali,Delhi,470,t
66,John Smith,mumbai,949,t
67,Neha Kapoor,MUMBAI,603,t
68,John Kapoor,DELHI,391,f
69,Ananya Ali,Dubai,226,t
70,Zaid Kapoor,DELHI,475,f
71,Sumit Smith,DELHI,519,t
72,Zaid Smith,Delhi,127,t
73,John Ali,mumbai,626,t
74,Neha Ali,MUMBAI,364,t
75,Zaid Sheikh,DUBAI,127,t
76,Sumit Kapoor,DELHI,943,t
77,Ananya Kumar,MUMBAI,36,f
78,Ananya Sheikh,Dubai,248,t
79,John Ali,Dubai,517,f
80,Ananya Sheikh,Dubai,453,f
81,John Kapoor,DUBAI,478,t
82,Zaid Kapoor,Dubai,812,t
83,Amit Ali,MUMBAI,839,t
84,Neha Kumar,Delhi,698,t
85,John Kapoor,Dubai,391,t
86,Neha Ali,Dubai,814,t
87,Sumit Sheikh,DELHI,679,t
88,Zaid Sheikh,DELHI,729,t
89,Amit Ali,mumbai,316,f
90,John Smith,MUMBAI,322,t
91,Amit Smith,DELHI,918,t
92,Amit Ali,DUBAI,187,t
93,Amit Kapoor,DELHI,736,t
94,Zaid Kapoor,MUMBAI,284,f
95,Sumit Sheikh,DUBAI,800,t
96,John Smith,Delhi,856,t
97,Neha Smith,mumbai,809,t
98,Sumit Ali,Dubai,609,t
99,Ananya Smith,DELHI,428,t
100,John Kapoor,mumbai,25,t
101,Neha Kapoor,MUMBAI,598,t
102,Ananya Kumar,Dubai,546,t
103,Zaid Ali,Delhi,40,f
104,Neha Sheikh,DUBAI,124,t
105,Sumit Kapoor,DUBAI,987,f
106,Amit Kapoor,MUMBAI,499,t
